Nodes,Samples,Deg,Graph,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
100,1000,2,sf,23,DF-PC (Pure),0.7870967741935484,0.9838709677419355,0.6559139784946236,33.0,5725,775,11855,1.4546363353729248
100,1000,2,sf,24,Standard PC,0.9,1.0,0.8181818181818182,16.0,12499,7549,17659,3.0268189907073975
100,1000,2,sf,24,DF-PC (Pure),0.9112426035502958,0.9506172839506173,0.875,15.0,5748,798,19108,0.8718969821929932
100,1000,2,sf,25,Standard PC,0.8902439024390244,1.0,0.8021978021978022,18.0,10294,5344,15627,2.170696496963501
100,1000,2,sf,25,DF-PC (Pure),0.9122807017543859,0.975,0.8571428571428571,15.0,6452,1502,18775,1.3667006492614746
100,1000,2,sf,26,Standard PC,0.8444444444444446,0.9827586206896551,0.7402597402597403,21.0,5871,921,11078,1.2791049480438232
100,1000,2,sf,26,DF-PC (Pure),0.822695035460993,0.90625,0.7532467532467533,25.0,5264,314,11158,0.8273830413818359
100,1000,2,sf,27,Standard PC,0.896551724137931,1.0,0.8125,18.0,7661,2711,13101,1.7962367534637451
100,1000,2,sf,27,DF-PC (Pure),0.8938547486033519,0.963855421686747,0.8333333333333334,19.0,6224,1274,13354,0.8233685493469238
100,1000,2,sf,28,Standard PC,0.8554216867469879,1.0,0.7473684210526316,24.0,18735,13785,24022,3.1674623489379883
100,1000,2,sf,28,DF-PC (Pure),0.8588235294117647,0.9733333333333334,0.7684210526315789,24.0,8466,3516,24117,3.6098902225494385
100,1000,2,sf,29,Standard PC,0.8571428571428571,1.0,0.75,20.0,17724,12774,23009,2.7578299045562744
100,1000,2,sf,29,DF-PC (Pure),0.8689655172413793,0.9692307692307692,0.7875,19.0,5846,896,23275,1.0246543884277344
100,1000,4,er,0,Standard PC,0.6873065015479878,0.9024390243902439,0.555,101.0,41437,36487,63913,7.052140474319458
100,1000,4,er,0,DF-PC (Pure),0.6873065015479878,0.9024390243902439,0.555,101.0,26164,21214,64155,5.198890447616577
100,1000,4,er,1,Standard PC,0.7033639143730887,0.905511811023622,0.575,97.0,32580,27630,48450,4.402028560638428
100,1000,4,er,1,DF-PC (Pure),0.716867469879518,0.9015151515151515,0.595,94.0,19622,14672,48741,4.1373608112335205
100,1000,4,er,2,Standard PC,0.607843137254902,0.8773584905660378,0.465,120.0,45610,40660,76574,7.002373218536377
100,1000,4,er,2,DF-PC (Pure),0.6084142394822006,0.8623853211009175,0.47,121.0,33790,28840,77000,5.0597429275512695
100,1000,4,er,3,Standard PC,0.632258064516129,0.8909090909090909,0.49,114.0,38856,33906,58892,7.365445613861084
100,1000,4,er,3,DF-PC (Pure),0.6325878594249202,0.8761061946902655,0.495,115.0,24552,19602,59326,3.097108840942383
100,1000,4,er,4,Standard PC,0.6853582554517135,0.9090909090909091,0.55,101.0,48806,43856,74355,7.751695871353149
100,1000,4,er,4,DF-PC (Pure),0.6851851851851852,0.8951612903225806,0.555,102.0,31985,27035,74795,3.750798225402832
100,1000,4,er,5,Standard PC,0.6771159874608151,0.907563025210084,0.54,103.0,36817,31867,57942,6.650217056274414
100,1000,4,er,5,DF-PC (Pure),0.6791277258566979,0.9008264462809917,0.545,103.0,24924,19974,58413,3.328317165374756
100,1000,4,er,6,Standard PC,0.6793650793650793,0.9304347826086956,0.535,101.0,45309,40359,70254,7.796799182891846
100,1000,4,er,6,DF-PC (Pure),0.6876971608832807,0.9316239316239316,0.545,99.0,30353,25403,70537,4.945018768310547
100,1000,4,er,7,Standard PC,0.709480122324159,0.9133858267716536,0.58,95.0,34398,29448,49907,5.386792182922363
100,1000,4,er,7,DF-PC (Pure),0.7112462006079028,0.9069767441860465,0.585,95.0,20768,15818,50174,3.3632256984710693
100,1000,4,er,8,Standard PC,0.6188925081433224,0.8878504672897196,0.475,117.0,56564,51614,86614,7.896682024002075
100,1000,4,er,8,DF-PC (Pure),0.627831715210356,0.8899082568807339,0.485,115.0,37439,32489,87054,4.557437896728516
100,1000,4,er,9,Standard PC,0.6474358974358975,0.9017857142857143,0.505,110.0,43014,38064,66824,7.6989381313323975
100,1000,4,er,9,DF-PC (Pure),0.6517571884984026,0.9026548672566371,0.51,109.0,28278,23328,66951,5.505450963973999
100,1000,4,er,10,Standard PC,0.7455621301775148,0.9130434782608695,0.63,86.0,34052,29102,49180,5.280877590179443
100,1000,4,er,10,DF-PC (Pure),0.7529411764705883,0.9142857142857143,0.64,84.0,20266,15316,49530,2.4087538719177246
100,1000,4,er,11,Standard PC,0.7098765432098765,0.9274193548387096,0.575,94.0,45630,40680,71071,5.5817179679870605
100,1000,4,er,11,DF-PC (Pure),0.7177914110429447,0.9285714285714286,0.585,92.0,29253,24303,71388,4.1635730266571045
100,1000,4,er,12,Standard PC,0.6625386996904025,0.8699186991869918,0.535,109.0,45966,41016,69065,6.319661855697632
100,1000,4,er,12,DF-PC (Pure),0.6625386996904025,0.8699186991869918,0.535,109.0,29009,24059,69325,4.485715389251709
100,1000,4,er,13,Standard PC,0.6517571884984026,0.9026548672566371,0.51,109.0,38207,33257,57899,4.6623616218566895
100,1000,4,er,13,DF-PC (Pure),0.6560509554140127,0.9035087719298246,0.515,108.0,24415,19465,58101,2.9254112243652344
100,1000,4,er,14,Standard PC,0.7447447447447447,0.9323308270676691,0.62,85.0,34016,29066,49381,3.8204612731933594
