Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
20,5000,4,sf,linear_sem,18,DF-PC (Pure),0.5714285714285714,0.8,0.4444444444444444,24.0,3739,2076,1886,2076,1663,0.5932228565216064,0.5345005989074707,0.05872225761413574
20,5000,4,sf,linear_sem,19,DF-PC (Pure),0.6779661016949152,0.8695652173913043,0.5555555555555556,19.0,2976,1278,1088,1278,1698,0.3335530757904053,0.2839491367340088,0.049603939056396484
20,5000,4,sf,linear_sem,20,DF-PC (Pure),0.7761194029850746,0.8387096774193549,0.7222222222222222,15.0,5159,2120,1930,2120,3039,0.6338226795196533,0.5400769710540771,0.09374570846557617
20,5000,4,sf,linear_sem,21,DF-PC (Pure),0.5263157894736842,0.7142857142857143,0.4166666666666667,27.0,4530,2378,2188,2378,2152,0.35645365715026855,0.2911367416381836,0.06531691551208496
20,5000,4,sf,linear_sem,22,DF-PC (Pure),0.7457627118644068,0.9565217391304348,0.6111111111111112,15.0,4723,1784,1594,1784,2939,0.3917505741119385,0.3138420581817627,0.07790851593017578
20,5000,4,sf,linear_sem,23,DF-PC (Pure),0.78125,0.8928571428571429,0.6944444444444444,14.0,3777,1405,1215,1405,2372,0.27114009857177734,0.2138049602508545,0.05733513832092285
20,5000,4,sf,linear_sem,24,DF-PC (Pure),0.7719298245614036,0.9565217391304348,0.6470588235294118,13.0,2432,1263,1073,1263,1169,0.4561605453491211,0.41632604598999023,0.03983449935913086
20,5000,4,sf,linear_sem,25,DF-PC (Pure),0.8750000000000001,1.0,0.7777777777777778,8.0,3177,1095,905,1095,2082,0.5379891395568848,0.4814109802246094,0.05657815933227539
20,5000,4,sf,linear_sem,26,DF-PC (Pure),0.746268656716418,0.8064516129032258,0.6944444444444444,17.0,4621,1404,1214,1404,3217,0.2517514228820801,0.17092394828796387,0.08082747459411621
20,5000,4,sf,linear_sem,27,DF-PC (Pure),0.7936507936507936,0.9259259259259259,0.6944444444444444,13.0,5239,2235,2045,2235,3004,0.4458181858062744,0.3467576503753662,0.0990605354309082
20,5000,4,sf,linear_sem,28,DF-PC (Pure),0.689655172413793,0.8695652173913043,0.5714285714285714,18.0,3376,1804,1614,1804,1572,0.6796700954437256,0.629164457321167,0.050505638122558594
20,5000,4,sf,linear_sem,29,DF-PC (Pure),0.7213114754098361,0.88,0.6111111111111112,17.0,3752,1766,1576,1766,1986,0.5806784629821777,0.5123229026794434,0.06835556030273438
20,5000,4,er,discrete,0,Standard PC,0.6666666666666666,1.0,0.5,20.0,607,407,217,407,200,0.1213986873626709,0.11596226692199707,0.005436420440673828
20,5000,4,er,discrete,1,Standard PC,0.4905660377358491,1.0,0.325,27.0,486,289,99,289,197,0.08104300498962402,0.07658815383911133,0.004454851150512695
20,5000,4,er,discrete,2,Standard PC,0.4905660377358491,1.0,0.325,27.0,453,261,71,261,192,0.07467293739318848,0.07025766372680664,0.004415273666381836
20,5000,4,er,discrete,3,Standard PC,0.4,1.0,0.25,30.0,466,273,83,273,193,0.07650971412658691,0.07228302955627441,0.0042266845703125
20,5000,4,er,discrete,4,Standard PC,0.5357142857142857,0.9375,0.375,26.0,512,318,128,318,194,0.08916163444519043,0.08439397811889648,0.004767656326293945
20,5000,4,er,discrete,5,Standard PC,0.4905660377358491,1.0,0.325,27.0,478,283,93,283,195,0.07098698616027832,0.06694650650024414,0.00404047966003418
20,5000,4,er,discrete,6,Standard PC,0.5185185185185185,1.0,0.35,26.0,482,289,99,289,193,0.07812237739562988,0.0735619068145752,0.0045604705810546875
20,5000,4,er,discrete,7,Standard PC,0.4,1.0,0.25,30.0,427,234,44,234,193,0.06631255149841309,0.06195640563964844,0.0043561458587646484
20,5000,4,er,discrete,8,Standard PC,0.5714285714285715,1.0,0.4,24.0,455,265,75,265,190,0.0760793685913086,0.07136034965515137,0.0047190189361572266
20,5000,4,er,discrete,9,Standard PC,0.4230769230769231,0.9166666666666666,0.275,30.0,432,240,50,240,192,0.05479598045349121,0.051108360290527344,0.003687620162963867
20,5000,4,er,discrete,10,Standard PC,0.4313725490196079,1.0,0.275,29.0,467,277,87,277,190,0.0735173225402832,0.0692903995513916,0.0042269229888916016
20,5000,4,er,discrete,11,Standard PC,0.5454545454545454,1.0,0.375,25.0,505,310,120,310,195,0.0882267951965332,0.08355474472045898,0.004672050476074219
20,5000,4,er,discrete,12,Standard PC,0.4313725490196079,1.0,0.275,29.0,475,278,88,278,197,0.07199406623840332,0.06789207458496094,0.004101991653442383
20,5000,4,er,discrete,13,Standard PC,0.4615384615384615,1.0,0.3,28.0,461,268,78,268,193,0.06835484504699707,0.06415987014770508,0.004194974899291992
20,5000,4,er,discrete,14,Standard PC,0.4528301886792453,0.9230769230769231,0.3,29.0,457,265,75,265,192,0.07524347305297852,0.07076191902160645,0.00448155403137207
20,5000,4,er,discrete,15,Standard PC,0.5454545454545454,1.0,0.375,25.0,490,295,105,295,195,0.07428312301635742,0.07004451751708984,0.004238605499267578
20,5000,4,er,discrete,16,Standard PC,0.4905660377358491,1.0,0.325,27.0,490,294,104,294,196,0.08338236808776855,0.07882022857666016,0.0045621395111083984
20,5000,4,er,discrete,17,Standard PC,0.5454545454545454,1.0,0.375,25.0,464,265,75,265,199,0.07285404205322266,0.06854367256164551,0.0043103694915771484
20,5000,4,er,discrete,18,Standard PC,0.5454545454545454,1.0,0.375,25.0,529,336,146,336,193,0.08968591690063477,0.08501124382019043,0.004674673080444336
20,5000,4,er,discrete,19,Standard PC,0.5714285714285715,1.0,0.4,24.0,545,344,154,344,201,0.08640027046203613,0.08206534385681152,0.004334926605224609
20,5000,4,er,discrete,20,Standard PC,0.4230769230769231,0.9166666666666666,0.275,30.0,537,342,152,342,195,0.0921621322631836,0.08752679824829102,0.004635334014892578
