Dataset,Nodes,Samples,Rep,Algo,F1,Prec,Rec,SHD,Actual_CIT,Cond_CIT,Requests,Time_Total
mildew,35,2000,2,DF-PC (Pure),0.8095238095238095,0.8947368421052632,0.7391304347826086,16.0,2158,1563,4647,1.7349882125854492
mildew,35,2000,3,Standard PC,0.7692307692307693,0.9375,0.6521739130434783,18.0,2786,2191,4654,2.380051851272583
mildew,35,2000,3,DF-PC (Pure),0.7951807228915664,0.8918918918918919,0.717391304347826,17.0,2341,1746,4927,1.9386427402496338
mildew,35,2000,4,Standard PC,0.8051948051948052,1.0,0.6739130434782609,15.0,2221,1626,3881,1.215881586074829
mildew,35,2000,4,DF-PC (Pure),0.8395061728395062,0.9714285714285714,0.7391304347826086,13.0,1853,1258,4192,0.9178850650787354
mildew,35,2000,5,Standard PC,0.7532467532467533,0.9354838709677419,0.6304347826086957,19.0,2182,1587,3798,1.6145567893981934
mildew,35,2000,5,DF-PC (Pure),0.7901234567901234,0.9142857142857143,0.6956521739130435,17.0,1799,1204,3998,1.0613930225372314
mildew,35,2000,6,Standard PC,0.7368421052631579,0.9333333333333333,0.6086956521739131,20.0,2489,1894,4242,1.230463981628418
mildew,35,2000,6,DF-PC (Pure),0.775,0.9117647058823529,0.6739130434782609,18.0,2110,1515,4596,1.0924930572509766
mildew,35,2000,7,Standard PC,0.7435897435897436,0.90625,0.6304347826086957,20.0,2538,1943,4270,2.179218053817749
mildew,35,2000,7,DF-PC (Pure),0.7160493827160495,0.8285714285714286,0.6304347826086957,23.0,2126,1531,4570,2.1753756999969482
mildew,35,2000,8,Standard PC,0.7948717948717949,0.96875,0.6739130434782609,16.0,2498,1903,4239,6.14851188659668
mildew,35,2000,8,DF-PC (Pure),0.8395061728395062,0.9714285714285714,0.7391304347826086,13.0,2111,1516,4507,6.071546792984009
mildew,35,2000,9,Standard PC,0.7466666666666666,0.9655172413793104,0.6086956521739131,19.0,2518,1923,4275,1.6291284561157227
mildew,35,2000,9,DF-PC (Pure),0.7341772151898734,0.8787878787878788,0.6304347826086957,21.0,2106,1511,4560,1.5563087463378906
mildew,35,2000,10,Standard PC,0.7804878048780488,0.8888888888888888,0.6956521739130435,18.0,2689,2094,4414,5.730683088302612
mildew,35,2000,10,DF-PC (Pure),0.7674418604651162,0.825,0.717391304347826,20.0,2264,1669,4642,5.845494270324707
mildew,35,2000,11,Standard PC,0.7466666666666666,0.9655172413793104,0.6086956521739131,19.0,2511,1916,4213,1.3543474674224854
mildew,35,2000,11,DF-PC (Pure),0.7654320987654321,0.8857142857142857,0.6739130434782609,19.0,2090,1495,4601,1.2632343769073486
