Nodes,Deg,ErrorRate,Rep,Algo,F1,Prec,Rec,SHD,Requests,Performed_CITs,Bypassed_CITs
20,3,0.05,14,Standard PC,0.6153846153846153,0.7272727272727273,0.5333333333333333,20.0,2465,2465,0
20,3,0.05,15,Standard PC,0.5283018867924527,0.6086956521739131,0.4666666666666667,25.0,2555,2555,0
20,3,0.05,16,Standard PC,0.5416666666666666,0.7222222222222222,0.43333333333333335,22.0,2295,2295,0
20,3,0.05,17,Standard PC,0.5283018867924527,0.6086956521739131,0.4666666666666667,25.0,2363,2363,0
20,3,0.05,18,Standard PC,0.3529411764705882,0.42857142857142855,0.3,33.0,2729,2729,0
20,3,0.05,19,Standard PC,0.5490196078431373,0.6666666666666666,0.4666666666666667,23.0,2270,2270,0
20,3,0.05,20,Standard PC,0.68,0.85,0.5666666666666667,16.0,2247,2247,0
20,3,0.05,21,Standard PC,0.5660377358490566,0.6521739130434783,0.5,23.0,2210,2210,0
20,3,0.05,22,Standard PC,0.49056603773584906,0.5652173913043478,0.43333333333333335,27.0,2520,2520,0
20,3,0.05,23,Standard PC,0.5283018867924527,0.6086956521739131,0.4666666666666667,25.0,2687,2687,0
20,3,0.05,24,Standard PC,0.68,0.85,0.5666666666666667,16.0,2339,2339,0
20,3,0.05,25,Standard PC,0.423076923076923,0.5,0.36666666666666664,30.0,2388,2388,0
20,3,0.05,26,Standard PC,0.5416666666666666,0.7222222222222222,0.43333333333333335,22.0,1881,1881,0
20,3,0.05,27,Standard PC,0.5,0.5384615384615384,0.4666666666666667,28.0,2668,2668,0
20,3,0.05,28,Standard PC,0.423076923076923,0.5,0.36666666666666664,30.0,1957,1957,0
20,3,0.05,29,Standard PC,0.4897959183673469,0.631578947368421,0.4,25.0,2512,2512,0
20,3,0.05,0,DF-PC (Pure),0.5161290322580646,0.5,0.5333333333333333,30.0,3245,1550,1695
20,3,0.05,1,DF-PC (Pure),0.523076923076923,0.4857142857142857,0.5666666666666667,31.0,4981,2567,2414
