Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
30,5000,6,er,linear_sem,28,DF-PC (Pure),0.3025210084033613,0.6206896551724138,0.2,83.0,29885,19162,18727,19162,10723,3.018263101577759,2.5869140625,0.4313490390777588
30,5000,6,er,linear_sem,29,DF-PC (Pure),0.37500000000000006,0.631578947368421,0.26666666666666666,80.0,24542,15178,14743,15178,9364,2.8919055461883545,2.514191150665283,0.3777143955230713
30,5000,6,er,discrete,0,Standard PC,0.3148148148148148,0.9444444444444444,0.18888888888888888,74.0,937,502,67,502,435,0.11777615547180176,0.10868406295776367,0.009092092514038086
30,5000,6,er,discrete,1,Standard PC,0.2692307692307693,1.0,0.15555555555555556,76.0,943,508,73,508,435,0.08443069458007812,0.07836461067199707,0.006066083908081055
30,5000,6,er,discrete,2,Standard PC,0.2692307692307693,1.0,0.15555555555555556,76.0,956,521,86,521,435,0.08775496482849121,0.08177852630615234,0.005976438522338867
30,5000,6,er,discrete,3,Standard PC,0.2524271844660194,1.0,0.14444444444444443,77.0,1031,590,155,590,441,0.10437345504760742,0.09800553321838379,0.006367921829223633
30,5000,6,er,discrete,4,Standard PC,0.3486238532110092,1.0,0.2111111111111111,71.0,1104,658,223,658,446,0.11539649963378906,0.10851883888244629,0.0068776607513427734
30,5000,6,er,discrete,5,Standard PC,0.3636363636363636,1.0,0.2222222222222222,70.0,1083,648,213,648,435,0.11481833457946777,0.10805320739746094,0.006765127182006836
30,5000,6,er,discrete,6,Standard PC,0.2857142857142857,1.0,0.16666666666666666,75.0,998,561,126,561,437,0.10202646255493164,0.09525060653686523,0.006775856018066406
30,5000,6,er,discrete,7,Standard PC,0.37837837837837834,1.0,0.23333333333333334,69.0,1048,602,167,602,446,0.10791969299316406,0.10120677947998047,0.006712913513183594
30,5000,6,er,discrete,8,Standard PC,0.2524271844660194,1.0,0.14444444444444443,77.0,942,507,72,507,435,0.08236241340637207,0.07649421691894531,0.005868196487426758
30,5000,6,er,discrete,9,Standard PC,0.2990654205607477,0.9411764705882353,0.17777777777777778,75.0,1060,623,188,623,437,0.10894036293029785,0.10241365432739258,0.0065267086029052734
30,5000,6,er,discrete,10,Standard PC,0.3486238532110092,1.0,0.2111111111111111,71.0,1073,624,189,624,449,0.10689330101013184,0.10017251968383789,0.006720781326293945
30,5000,6,er,discrete,11,Standard PC,0.3177570093457944,1.0,0.18888888888888888,73.0,967,528,93,528,439,0.08868694305419922,0.08250045776367188,0.006186485290527344
30,5000,6,er,discrete,12,Standard PC,0.3518518518518518,1.0,0.21348314606741572,70.0,1079,641,206,641,438,0.11653709411621094,0.1093149185180664,0.007222175598144531
30,5000,6,er,discrete,13,Standard PC,0.2352941176470588,0.9230769230769231,0.1348314606741573,78.0,997,559,124,559,438,0.10711216926574707,0.0999906063079834,0.007121562957763672
30,5000,6,er,discrete,14,Standard PC,0.37837837837837834,1.0,0.23333333333333334,69.0,1134,691,256,691,443,0.12013602256774902,0.11332845687866211,0.006807565689086914
30,5000,6,er,discrete,15,Standard PC,0.2692307692307693,1.0,0.15555555555555556,76.0,988,548,113,548,440,0.16289186477661133,0.15308380126953125,0.009808063507080078
30,5000,6,er,discrete,16,Standard PC,0.3302752293577982,0.9473684210526315,0.2,73.0,1048,607,172,607,441,0.10226321220397949,0.09603667259216309,0.006226539611816406
30,5000,6,er,discrete,17,Standard PC,0.3636363636363636,1.0,0.2222222222222222,70.0,1152,701,266,701,451,0.20124506950378418,0.19134807586669922,0.009896993637084961
30,5000,6,er,discrete,18,Standard PC,0.37837837837837834,1.0,0.23333333333333334,69.0,1110,670,235,670,440,0.12054657936096191,0.11352133750915527,0.007025241851806641
30,5000,6,er,discrete,19,Standard PC,0.3018867924528302,1.0,0.17777777777777778,74.0,1009,574,139,574,435,0.09727358818054199,0.09088373184204102,0.0063898563385009766
30,5000,6,er,discrete,20,Standard PC,0.3177570093457944,1.0,0.18888888888888888,73.0,1026,582,147,582,444,0.10584092140197754,0.09897279739379883,0.006868124008178711
30,5000,6,er,discrete,21,Standard PC,0.33333333333333337,1.0,0.2,72.0,1006,571,136,571,435,0.09921383857727051,0.09279298782348633,0.00642085075378418
30,5000,6,er,discrete,22,Standard PC,0.26666666666666666,0.9333333333333333,0.15555555555555556,77.0,960,523,88,523,437,0.09147763252258301,0.0852053165435791,0.006272315979003906
30,5000,6,er,discrete,23,Standard PC,0.2990654205607477,0.9411764705882353,0.17777777777777778,75.0,979,542,107,542,437,0.09209442138671875,0.08602142333984375,0.006072998046875
30,5000,6,er,discrete,24,Standard PC,0.33333333333333337,1.0,0.2,72.0,981,543,108,543,438,0.09624266624450684,0.08992815017700195,0.006314516067504883
30,5000,6,er,discrete,25,Standard PC,0.2857142857142857,1.0,0.16666666666666666,75.0,1017,580,145,580,437,0.20137310028076172,0.19000792503356934,0.011365175247192383
30,5000,6,er,discrete,26,Standard PC,0.3486238532110092,1.0,0.2111111111111111,71.0,1002,560,125,560,442,0.09586000442504883,0.08960485458374023,0.006255149841308594
30,5000,6,er,discrete,27,Standard PC,0.2524271844660194,1.0,0.14444444444444443,77.0,1023,576,141,576,447,0.10135030746459961,0.0948939323425293,0.0064563751220703125
30,5000,6,er,discrete,28,Standard PC,0.2990654205607477,0.9411764705882353,0.17777777777777778,75.0,994,547,112,547,447,0.09080076217651367,0.08466958999633789,0.006131172180175781
30,5000,6,er,discrete,29,Standard PC,0.2692307692307693,1.0,0.15555555555555556,76.0,1004,565,130,565,439,0.09319663047790527,0.08716893196105957,0.006027698516845703
30,5000,6,er,discrete,0,PC with deduce-dep,0.3302752293577982,0.9473684210526315,0.2,73.0,937,503,68,503,434,0.15182876586914062,0.14159774780273438,0.01023101806640625
30,5000,6,er,discrete,1,PC with deduce-dep,0.3018867924528302,1.0,0.17777777777777778,74.0,943,510,75,510,433,0.09985184669494629,0.09247994422912598,0.0073719024658203125
30,5000,6,er,discrete,2,PC with deduce-dep,0.2692307692307693,1.0,0.15555555555555556,76.0,956,521,86,521,435,0.1017293930053711,0.094573974609375,0.007155418395996094
30,5000,6,er,discrete,3,PC with deduce-dep,0.3177570093457944,1.0,0.18888888888888888,73.0,1065,671,236,671,394,0.1186819076538086,0.11087846755981445,0.007803440093994141
30,5000,6,er,discrete,4,PC with deduce-dep,0.37837837837837834,1.0,0.23333333333333334,69.0,1127,729,294,729,398,0.23554658889770508,0.22291064262390137,0.012635946273803711
30,5000,6,er,discrete,5,PC with deduce-dep,0.4210526315789474,1.0,0.26666666666666666,66.0,1132,755,320,755,377,0.16874957084655762,0.15916776657104492,0.009581804275512695
30,5000,6,er,discrete,6,PC with deduce-dep,0.3177570093457944,1.0,0.18888888888888888,73.0,1005,610,175,610,395,0.1053018569946289,0.09822559356689453,0.007076263427734375
30,5000,6,er,discrete,7,PC with deduce-dep,0.39285714285714285,1.0,0.24444444444444444,68.0,1048,603,168,603,445,0.10160684585571289,0.09481167793273926,0.006795167922973633
30,5000,6,er,discrete,8,PC with deduce-dep,0.2524271844660194,1.0,0.14444444444444443,77.0,942,507,72,507,435,0.08184552192687988,0.07581543922424316,0.006030082702636719
30,5000,6,er,discrete,9,PC with deduce-dep,0.3603603603603604,0.9523809523809523,0.2222222222222222,71.0,1169,883,448,883,286,0.34282922744750977,0.3166053295135498,0.02622389793395996
30,5000,6,er,discrete,10,PC with deduce-dep,0.4070796460176991,1.0,0.25555555555555554,67.0,1079,640,205,640,439,0.11588120460510254,0.10846567153930664,0.0074155330657958984
30,5000,6,er,discrete,11,PC with deduce-dep,0.3177570093457944,1.0,0.18888888888888888,73.0,967,528,93,528,439,0.13589000701904297,0.12726616859436035,0.008623838424682617
30,5000,6,er,discrete,12,PC with deduce-dep,0.41071428571428575,1.0,0.25842696629213485,66.0,1095,683,248,683,412,0.12361884117126465,0.11616802215576172,0.00745081901550293
30,5000,6,er,discrete,13,PC with deduce-dep,0.3018867924528302,0.9411764705882353,0.1797752808988764,74.0,1009,593,158,593,416,0.10740256309509277,0.10017156600952148,0.007230997085571289
30,5000,6,er,discrete,14,PC with deduce-dep,0.4347826086956522,1.0,0.2777777777777778,65.0,1170,781,346,781,389,0.15052533149719238,0.14204049110412598,0.008484840393066406
