Setup,Nodes,Samples,Deg,Graph,Data,Rep,Algo,F1,Prec,Rec,SHD,Requests,Actual_CIT,Cond_CIT,Performed_CITs,Bypassed_CITs,Time_Total,Time_CIT,Time_Overhead
SetupA_NodeScaling,20,5000,3,sf,linear_sem,2,DF-PC (Pure),0.5507246376811594,0.8636363636363636,0.40425531914893614,31.0,5252,2941,2751,2941,2311,0.728421688079834,0.6523969173431396,0.07602477073669434
SetupA_NodeScaling,20,5000,3,sf,linear_sem,3,DF-PC (Pure),0.5526315789473684,0.84,0.4117647058823529,34.0,3908,1904,1714,1904,2004,0.7315285205841064,0.6626255512237549,0.06890296936035156
SetupA_NodeScaling,20,5000,3,sf,linear_sem,4,DF-PC (Pure),0.5633802816901409,0.8,0.43478260869565216,31.0,4639,2393,2203,2393,2246,0.715449333190918,0.6332335472106934,0.08221578598022461
SetupA_NodeScaling,20,5000,3,sf,linear_sem,5,DF-PC (Pure),0.5599999999999999,0.8076923076923077,0.42857142857142855,33.0,5135,2899,2709,2899,2236,1.7300350666046143,1.6250841617584229,0.1049509048461914
SetupA_NodeScaling,20,5000,3,sf,linear_sem,6,DF-PC (Pure),0.4675324675324675,0.6923076923076923,0.35294117647058826,41.0,6198,3467,3277,3467,2731,1.5608406066894531,1.460646152496338,0.10019445419311523
SetupA_NodeScaling,20,5000,3,sf,linear_sem,7,DF-PC (Pure),0.5866666666666667,0.8461538461538461,0.4489795918367347,31.0,4489,2331,2141,2331,2158,1.246312141418457,1.161299705505371,0.08501243591308594
SetupA_NodeScaling,20,5000,3,sf,linear_sem,8,DF-PC (Pure),0.5599999999999999,0.84,0.42,33.0,6985,3564,3374,3564,3421,1.0849473476409912,0.9135456085205078,0.1714017391204834
SetupA_NodeScaling,20,5000,3,sf,linear_sem,9,DF-PC (Pure),0.5384615384615384,0.7777777777777778,0.4117647058823529,36.0,6965,3990,3800,3990,2975,0.8123180866241455,0.7007408142089844,0.11157727241516113
SetupA_NodeScaling,20,5000,3,sf,linear_sem,10,DF-PC (Pure),0.5063291139240506,0.7142857142857143,0.39215686274509803,39.0,6817,3775,3585,3775,3042,3.172468662261963,3.0434932708740234,0.12897539138793945
SetupA_NodeScaling,20,5000,3,sf,linear_sem,11,DF-PC (Pure),0.5217391304347826,0.9,0.3673469387755102,33.0,4602,2534,2344,2534,2068,0.47213149070739746,0.41251683235168457,0.05961465835571289
SetupA_NodeScaling,20,5000,3,sf,linear_sem,12,DF-PC (Pure),0.5333333333333333,0.8333333333333334,0.39215686274509803,35.0,4717,2590,2400,2590,2127,0.46750450134277344,0.405414342880249,0.062090158462524414
SetupA_NodeScaling,20,5000,3,sf,linear_sem,13,DF-PC (Pure),0.7179487179487181,0.9333333333333333,0.5833333333333334,22.0,5062,2723,2533,2723,2339,0.6715004444122314,0.5920469760894775,0.0794534683227539
SetupA_NodeScaling,20,5000,3,sf,linear_sem,14,DF-PC (Pure),0.5599999999999999,0.8076923076923077,0.42857142857142855,33.0,7042,3877,3687,3877,3165,2.9072630405426025,2.7792556285858154,0.1280074119567871
SetupA_NodeScaling,20,5000,3,sf,linear_sem,15,DF-PC (Pure),0.6268656716417911,0.9130434782608695,0.4772727272727273,25.0,4594,2613,2423,2613,1981,0.8663699626922607,0.7952923774719238,0.07107758522033691
SetupA_NodeScaling,20,5000,3,sf,linear_sem,16,DF-PC (Pure),0.6233766233766235,0.8275862068965517,0.5,29.0,7641,4525,4335,4525,3116,1.424241304397583,1.3022174835205078,0.1220238208770752
SetupA_NodeScaling,20,5000,3,sf,linear_sem,17,DF-PC (Pure),0.5454545454545454,0.7777777777777778,0.42,35.0,4529,2312,2122,2312,2217,1.2276968955993652,1.1545860767364502,0.07311081886291504
SetupA_NodeScaling,20,5000,3,sf,linear_sem,18,DF-PC (Pure),0.6419753086419753,0.8666666666666667,0.5098039215686274,29.0,4635,2321,2131,2321,2314,1.223435640335083,1.134765386581421,0.08867025375366211
SetupA_NodeScaling,20,5000,3,sf,linear_sem,19,DF-PC (Pure),0.5333333333333333,0.8333333333333334,0.39215686274509803,35.0,6132,3312,3122,3312,2820,1.0773940086364746,0.9868497848510742,0.09054422378540039
SetupA_NodeScaling,20,5000,3,sf,linear_sem,20,DF-PC (Pure),0.4871794871794872,0.7037037037037037,0.37254901960784315,40.0,6295,3346,3156,3346,2949,1.964421033859253,1.8505103588104248,0.11391067504882812
SetupA_NodeScaling,20,5000,3,sf,linear_sem,21,DF-PC (Pure),0.6153846153846154,0.8275862068965517,0.4897959183673469,30.0,4338,2416,2226,2416,1922,1.666808843612671,1.597607135772705,0.06920170783996582
SetupA_NodeScaling,20,5000,3,sf,linear_sem,22,DF-PC (Pure),0.5609756097560976,0.7419354838709677,0.45098039215686275,36.0,7668,4353,4163,4353,3315,3.8735671043395996,3.6651158332824707,0.2084512710571289
SetupA_NodeScaling,20,5000,3,sf,linear_sem,23,DF-PC (Pure),0.5454545454545454,0.7777777777777778,0.42,35.0,3790,1876,1686,1876,1914,1.0302050113677979,0.9625720977783203,0.06763291358947754
SetupA_NodeScaling,20,5000,3,sf,linear_sem,24,DF-PC (Pure),0.6493506493506493,0.8620689655172413,0.5208333333333334,27.0,5882,3244,3054,3244,2638,1.4753344058990479,1.3581759929656982,0.11715841293334961
SetupA_NodeScaling,20,5000,3,sf,linear_sem,25,DF-PC (Pure),0.6923076923076923,0.7941176470588235,0.6136363636363636,24.0,5897,2977,2787,2977,2920,1.207446813583374,0.992077112197876,0.21536970138549805
SetupA_NodeScaling,20,5000,3,sf,linear_sem,26,DF-PC (Pure),0.5599999999999999,0.8076923076923077,0.42857142857142855,33.0,4950,2791,2601,2791,2159,1.1482250690460205,1.0701382160186768,0.07808685302734375
SetupA_NodeScaling,20,5000,3,sf,linear_sem,27,DF-PC (Pure),0.5866666666666666,0.8148148148148148,0.4583333333333333,31.0,6423,3667,3477,3667,2756,0.9371414184570312,0.8450696468353271,0.0920717716217041
SetupA_NodeScaling,20,5000,3,sf,linear_sem,28,DF-PC (Pure),0.641025641025641,0.8064516129032258,0.5319148936170213,28.0,5121,2471,2281,2471,2650,1.3453240394592285,1.2495150566101074,0.0958089828491211
SetupA_NodeScaling,20,5000,3,sf,linear_sem,29,DF-PC (Pure),0.5542168674698795,0.696969696969697,0.46,37.0,6711,3745,3555,3745,2966,2.0718727111816406,1.9524118900299072,0.1194608211517334
SetupA_NodeScaling,30,5000,3,sf,linear_sem,0,DF-PC (Pure),0.6271186440677966,0.8222222222222222,0.5068493150684932,44.0,13336,7409,6974,7409,5927,1.883518934249878,1.6619517803192139,0.22156715393066406
SetupA_NodeScaling,30,5000,3,sf,linear_sem,1,DF-PC (Pure),0.6178861788617886,0.8444444444444444,0.48717948717948717,47.0,12141,6687,6252,6687,5454,3.069552421569824,2.845662832260132,0.22388958930969238
SetupA_NodeScaling,30,5000,3,sf,linear_sem,2,DF-PC (Pure),0.6017699115044247,0.8095238095238095,0.4788732394366197,45.0,11477,5995,5560,5995,5482,1.476226568222046,1.3170065879821777,0.15921998023986816
SetupA_NodeScaling,30,5000,3,sf,linear_sem,3,DF-PC (Pure),0.49523809523809526,0.7647058823529411,0.36619718309859156,53.0,8964,4459,4024,4459,4505,1.331085443496704,1.1984047889709473,0.13268065452575684
SetupA_NodeScaling,30,5000,3,sf,linear_sem,4,DF-PC (Pure),0.6153846153846153,0.75,0.5217391304347826,45.0,15681,6082,5647,6082,9599,1.8662972450256348,1.4144904613494873,0.45180678367614746
SetupA_NodeScaling,30,5000,3,sf,linear_sem,5,DF-PC (Pure),0.547008547008547,0.7804878048780488,0.42105263157894735,53.0,13944,7550,7115,7550,6394,1.6112399101257324,1.3934361934661865,0.2178037166595459
SetupA_NodeScaling,30,5000,3,sf,linear_sem,6,DF-PC (Pure),0.5409836065573771,0.7674418604651163,0.4177215189873418,56.0,14608,8238,7803,8238,6370,1.4156253337860107,1.1417245864868164,0.27390074729919434
SetupA_NodeScaling,30,5000,3,sf,linear_sem,7,DF-PC (Pure),0.485981308411215,0.7027027027027027,0.37142857142857144,55.0,12545,7121,6686,7121,5424,1.244260311126709,1.033371925354004,0.21088838577270508
SetupA_NodeScaling,30,5000,3,sf,linear_sem,8,DF-PC (Pure),0.6719999999999999,0.875,0.5454545454545454,41.0,17994,7373,6938,7373,10621,5.302228689193726,4.793515205383301,0.5087134838104248
SetupA_NodeScaling,30,5000,3,sf,linear_sem,9,DF-PC (Pure),0.49572649572649574,0.6904761904761905,0.38666666666666666,59.0,13976,7691,7256,7691,6285,3.162984609603882,2.9010043144226074,0.2619802951812744
SetupA_NodeScaling,30,5000,3,sf,linear_sem,10,DF-PC (Pure),0.4339622641509434,0.7931034482758621,0.2987012987012987,60.0,11209,6068,5633,6068,5141,1.5510272979736328,1.3836166858673096,0.16741061210632324
SetupA_NodeScaling,30,5000,3,sf,linear_sem,11,DF-PC (Pure),0.6909090909090908,0.9047619047619048,0.5588235294117647,34.0,11563,6260,5825,6260,5303,3.855428695678711,3.6195595264434814,0.2358691692352295
SetupA_NodeScaling,30,5000,3,sf,linear_sem,12,DF-PC (Pure),0.591304347826087,0.85,0.4533333333333333,47.0,12036,6578,6143,6578,5458,1.711726188659668,1.5314397811889648,0.18028640747070312
SetupA_NodeScaling,30,5000,3,sf,linear_sem,13,DF-PC (Pure),0.5535714285714286,0.7948717948717948,0.4246575342465753,50.0,15830,8622,8187,8622,7208,2.689873456954956,2.4507765769958496,0.23909687995910645
SetupA_NodeScaling,30,5000,3,sf,linear_sem,14,DF-PC (Pure),0.5625,0.6545454545454545,0.4931506849315068,56.0,15019,7440,7005,7440,7579,2.7692692279815674,2.4780638217926025,0.29120540618896484
SetupA_NodeScaling,30,5000,3,sf,linear_sem,15,DF-PC (Pure),0.574074074074074,0.7948717948717948,0.4492753623188406,46.0,8225,4387,3952,4387,3838,1.5728232860565186,1.4521567821502686,0.12066650390625
SetupA_NodeScaling,30,5000,3,sf,linear_sem,16,DF-PC (Pure),0.5,0.7368421052631579,0.3783783783783784,56.0,14090,7936,7501,7936,6154,2.073223114013672,1.8523082733154297,0.2209148406982422
SetupA_NodeScaling,30,5000,3,sf,linear_sem,17,DF-PC (Pure),0.5203252032520326,0.6956521739130435,0.4155844155844156,59.0,13088,6597,6162,6597,6491,2.689352512359619,2.468966007232666,0.22038650512695312
SetupA_NodeScaling,30,5000,3,sf,linear_sem,18,DF-PC (Pure),0.5739130434782609,0.8048780487804879,0.44594594594594594,49.0,9489,4616,4181,4616,4873,1.670189619064331,1.525364637374878,0.14482498168945312
SetupA_NodeScaling,30,5000,3,sf,linear_sem,19,DF-PC (Pure),0.5245901639344263,0.7441860465116279,0.4050632911392405,58.0,16093,9130,8695,9130,6963,3.1385397911071777,2.8887791633605957,0.24976062774658203
SetupA_NodeScaling,30,5000,3,sf,linear_sem,20,DF-PC (Pure),0.5378151260504201,0.7804878048780488,0.41025641025641024,55.0,9899,5158,4723,5158,4741,1.9520361423492432,1.7883050441741943,0.16373109817504883
SetupA_NodeScaling,30,5000,3,sf,linear_sem,21,DF-PC (Pure),0.6126126126126126,0.918918918918919,0.4594594594594595,43.0,13224,7451,7016,7451,5773,2.9193382263183594,2.7117319107055664,0.20760631561279297
SetupA_NodeScaling,30,5000,3,sf,linear_sem,22,DF-PC (Pure),0.5378151260504201,0.8205128205128205,0.4,55.0,15548,9048,8613,9048,6500,3.7618215084075928,3.5022175312042236,0.25960397720336914
SetupA_NodeScaling,30,5000,3,sf,linear_sem,23,DF-PC (Pure),0.5811965811965812,0.7906976744186046,0.4594594594594595,49.0,10435,5356,4921,5356,5079,2.3068761825561523,2.1354668140411377,0.17140936851501465
SetupA_NodeScaling,30,5000,3,sf,linear_sem,24,DF-PC (Pure),0.639344262295082,0.8478260869565217,0.5131578947368421,44.0,10698,5504,5069,5504,5194,1.792834997177124,1.6222686767578125,0.17056632041931152
SetupA_NodeScaling,30,5000,3,sf,linear_sem,25,DF-PC (Pure),0.7419354838709677,0.8679245283018868,0.647887323943662,32.0,14951,8040,7605,8040,6911,3.05871319770813,2.6339540481567383,0.4247591495513916
SetupA_NodeScaling,30,5000,3,sf,linear_sem,26,DF-PC (Pure),0.5217391304347826,0.8108108108108109,0.38461538461538464,55.0,12699,7095,6660,7095,5604,2.580235481262207,2.390803813934326,0.18943166732788086
SetupA_NodeScaling,30,5000,3,sf,linear_sem,27,DF-PC (Pure),0.5454545454545454,0.6875,0.4520547945205479,55.0,13400,6882,6447,6882,6518,2.782115936279297,2.5535287857055664,0.22858715057373047
SetupA_NodeScaling,30,5000,3,sf,linear_sem,28,DF-PC (Pure),0.631578947368421,0.8780487804878049,0.4931506849315068,42.0,9407,4538,4103,4538,4869,2.3807177543640137,2.2029073238372803,0.1778104305267334
SetupA_NodeScaling,30,5000,3,sf,linear_sem,29,DF-PC (Pure),0.5225225225225226,0.8529411764705882,0.37662337662337664,53.0,12053,6683,6248,6683,5370,2.857598066329956,2.6510441303253174,0.20655393600463867
SetupA_NodeScaling,40,5000,3,sf,linear_sem,0,DF-PC (Pure),0.6040268456375839,0.8490566037735849,0.46875,59.0,19463,9716,8936,9716,9747,5.032330751419067,4.714776277542114,0.3175544738769531
SetupA_NodeScaling,40,5000,3,sf,linear_sem,1,DF-PC (Pure),0.5562913907284768,0.84,0.4158415841584158,67.0,18921,9887,9107,9887,9034,3.44138765335083,3.150970220565796,0.2904174327850342
SetupA_NodeScaling,40,5000,3,sf,linear_sem,2,DF-PC (Pure),0.5797101449275361,0.9090909090909091,0.425531914893617,58.0,17271,9067,8287,9067,8204,2.504634380340576,2.2661821842193604,0.23845219612121582
SetupA_NodeScaling,40,5000,3,sf,linear_sem,3,DF-PC (Pure),0.5985401459854015,0.9318181818181818,0.44086021505376344,55.0,15267,7622,6842,7622,7645,2.7310450077056885,2.505345582962036,0.22569942474365234
SetupA_NodeScaling,40,5000,3,sf,linear_sem,4,DF-PC (Pure),0.6891891891891891,0.85,0.5795454545454546,46.0,19330,7167,6387,7167,12163,5.857858896255493,5.464901685714722,0.3929572105407715
SetupA_NodeScaling,40,5000,3,sf,linear_sem,5,DF-PC (Pure),0.5594405594405595,0.8888888888888888,0.40816326530612246,63.0,14644,7718,6938,7718,6926,2.189500331878662,1.9727869033813477,0.21671342849731445
SetupA_NodeScaling,40,5000,3,sf,linear_sem,6,DF-PC (Pure),0.5316455696202531,0.84,0.3888888888888889,74.0,22785,11992,11212,11992,10793,2.6777191162109375,2.359997272491455,0.3177218437194824
SetupA_NodeScaling,40,5000,3,sf,linear_sem,7,DF-PC (Pure),0.5507246376811594,0.7450980392156863,0.4367816091954023,62.0,18442,9407,8627,9407,9035,1.866638422012329,1.5819623470306396,0.28467607498168945
SetupA_NodeScaling,40,5000,3,sf,linear_sem,8,DF-PC (Pure),0.5454545454545454,0.9069767441860465,0.39,65.0,19970,10573,9793,10573,9397,4.67446756362915,4.377632141113281,0.29683542251586914
SetupA_NodeScaling,40,5000,3,sf,linear_sem,9,DF-PC (Pure),0.5822784810126583,0.7931034482758621,0.46,66.0,24325,13065,12285,13065,11260,6.647722005844116,6.230103254318237,0.4176187515258789
SetupA_NodeScaling,40,5000,3,sf,linear_sem,10,DF-PC (Pure),0.5,0.7872340425531915,0.36633663366336633,74.0,16004,8215,7435,8215,7789,4.181142330169678,3.9379072189331055,0.24323511123657227
SetupA_NodeScaling,40,5000,3,sf,linear_sem,11,DF-PC (Pure),0.7101449275362318,0.9607843137254902,0.5632183908045977,40.0,14185,7172,6392,7172,7013,3.636531114578247,3.3694920539855957,0.26703906059265137
SetupA_NodeScaling,40,5000,3,sf,linear_sem,12,DF-PC (Pure),0.45333333333333337,0.6666666666666666,0.3434343434343434,82.0,22446,9806,9026,9806,12640,2.691418170928955,2.3307440280914307,0.3606741428375244
SetupA_NodeScaling,40,5000,3,sf,linear_sem,13,DF-PC (Pure),0.5263157894736842,0.7692307692307693,0.4,72.0,22416,12475,11695,12475,9941,3.9018681049346924,3.5638058185577393,0.3380622863769531
SetupA_NodeScaling,40,5000,3,sf,linear_sem,14,DF-PC (Pure),0.6369426751592356,0.8333333333333334,0.5154639175257731,57.0,16607,8273,7493,8273,8334,2.5056471824645996,2.267972469329834,0.23767471313476562
SetupA_NodeScaling,40,5000,3,sf,linear_sem,15,DF-PC (Pure),0.5540540540540541,0.7884615384615384,0.4270833333333333,66.0,18942,9717,8937,9717,9225,2.460796594619751,2.2043607234954834,0.2564358711242676
SetupA_NodeScaling,40,5000,3,sf,linear_sem,16,DF-PC (Pure),0.5032258064516129,0.7090909090909091,0.39,77.0,23577,12422,11642,12422,11155,4.7358667850494385,4.337102651596069,0.39876413345336914
SetupA_NodeScaling,40,5000,3,sf,linear_sem,17,DF-PC (Pure),0.6064516129032258,0.8392857142857143,0.47474747474747475,61.0,20899,10100,9320,10100,10799,4.5785017013549805,4.242940664291382,0.33556103706359863
SetupA_NodeScaling,40,5000,3,sf,linear_sem,18,DF-PC (Pure),0.6233766233766234,0.8571428571428571,0.4897959183673469,58.0,22578,10771,9991,10771,11807,3.2632346153259277,2.897036552429199,0.3661980628967285
SetupA_NodeScaling,40,5000,3,sf,linear_sem,19,DF-PC (Pure),0.5,0.8125,0.3611111111111111,78.0,23101,13015,12235,13015,10086,4.581175088882446,4.237888813018799,0.34328627586364746
SetupA_NodeScaling,40,5000,3,sf,linear_sem,20,DF-PC (Pure),0.6143790849673202,0.8545454545454545,0.47959183673469385,59.0,19775,9891,9111,9891,9884,2.874967336654663,2.59133243560791,0.28363490104675293
